ID,path,title,authors,translators,author_uris,translator_uris,original_language,genre,source_edition
17358,/p624/m17358,"מכתבים מחו""ל הביתה",יצחק בן־דור,"",https://wikidata.org/wiki/Q33112539,"","",Translation missing: he.letters,ברונפמן
17359,/p624/m17359,מכתב לדב סדן,יצחק בן־דור,"",https://wikidata.org/wiki/Q33112539,"","",Translation missing: he.letters,ברונפמן
17360,/p624/m17360,מכתבים לבנו חיים,יצחק בן־דור,"",https://wikidata.org/wiki/Q33112539,"","",Translation missing: he.letters,ברונפמן
17361,/p624/m17361,בין האב והבן,יצחק בן־דור,"",https://wikidata.org/wiki/Q33112539,"","",Translation missing: he.letters,ברונפמן
17362,/p624/m17362,לאבות ואמהות בישראל,יצחק בן־דור,"",https://wikidata.org/wiki/Q33112539,"","",Translation missing: he.letters,ברונפמן
17369,/p599/m17369,אַהֲבַת הוֹשֵׁעַ (פּוֹאֵימָה),שמעון גינצבורג,"",https://wikidata.org/wiki/Q7016777,"","",Translation missing: he.poetry,תל אביב: דביר
17377,/p53/m17377,אדרת אליהו,פנחס גריבסקי,"",https://wikidata.org/wiki/Q12410625,"","",Translation missing: he.reference,ירושלים: פנחס גרייבסקי
17378,/p53/m17378,ברכת השנים,פנחס גריבסקי,"",https://wikidata.org/wiki/Q12410625,"","",Translation missing: he.reference,ירושלים: פנחס גרייבסקי
17380,/p53/m17380,"מגדנות, משלח־מנות, ספורי כתל מערבי",פנחס גריבסקי,"",https://wikidata.org/wiki/Q12410625,"","",Translation missing: he.reference,ירושלם: מגנזי ירושלם 
17381,/p53/m17381,הפירמאנים המלכותים,פנחס גריבסקי,"",https://wikidata.org/wiki/Q12410625,"","",Translation missing: he.reference,"ירושלים: מגנזי ירושלם, חוברת קכ""ח"
17382,/p53/m17382,"מגנזי ירושלם: מצה שמורה, כוס ראשון, אז רוב נסים",פנחס גריבסקי,"",https://wikidata.org/wiki/Q12410625,"","",Translation missing: he.reference,ירושלים: פנחס גרייבסקי
17383,/p53/m17383,"מגנזי ירושלם, חוברת המאה ועשרים: ספר כנסת ירושלים ואחותה אלכסנדריה של מצרים",פנחס גריבסקי,"",https://wikidata.org/wiki/Q12410625,"","",Translation missing: he.reference,ירושלים: פנחס גרייבסקי
17384,/p53/m17384,מזכרת היובל ליוסף צבי רימון,פנחס גריבסקי,"",https://wikidata.org/wiki/Q12410625,"","",Translation missing: he.reference,ירושלים: פנחס גרייבסקי
17385,/p53/m17385,איש ירושלם נחמן גדליהו ברודר,פנחס גריבסקי,"",https://wikidata.org/wiki/Q12410625,"","",Translation missing: he.reference,ירושלים: פנחס גרייבסקי
17386,/p624/m17386,מתולדותיו,יצחק בן־דור,"",https://wikidata.org/wiki/Q33112539,"","",Translation missing: he.article,ברונפמן
